Item ID,SKU,Title,Site,URL,Format,Currency,Start Price,BIN Price,Reserve Price,Current Price,Total Qty,Sold Qty,Available Qty,Start Date,End Date,Category 1 Name,Category 1 ID,Category 2 Name,Category 2 ID,Condition ID,Condition Name,Professional Grader,Grade,Certification Number,Card Condition,ePID,UPC,EAN,ISBN,Shipping Profile,Package Weight,Package Dimensions,Watchers,Bids,Picture Count,Gallery URL,Issues,Issue Count
143123614225,,Beekeeping Beehive Entrance Reducer Entrance Lock 10 Frames ,Australia,https://www.ebay.com/itm/Beekeeping-Beehive-Entrance-Reducer-Entrance-Lock-10-Frames-/143123614225,FixedPriceItem,AUD,7.99,0.0,0.0,7.99,114,94,20,,,Industrial:Farming & Agriculture:Other,1269,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,1 kg,25.00 x 23.00 x 2.00 cm,,0,4,,Missing SKU; Missing UPC/EAN/ISBN; Missing ePID,3
147080731877,UHKIT,Lets Harvest! Uncapping Harvesting Kit,Australia,https://www.ebay.com/itm/Lets-Harvest-Uncapping-Harvesting-Kit-/147080731877,FixedPriceItem,AUD,109.99,0.0,0.0,109.99,0,0,0,,,Industrial:Facility Maintenance & Safety:Personal Protective Equipment (PPE):Other Personal Protective Equipment,11900,,,1000,New with tags,,,,,,,,,FREE SHIPPING AU(EXPRESS OPTIONAL) Copy,,,,0,8,,Missing UPC/EAN/ISBN; Missing ePID; Missing Package Weight; Missing Package Dimensions; Out of Stock,5
147020263908,OZ-3FMHE-SS304-L2,3 Frames Manual Honey Extractor Full SS 304 Food Grade Stainless Steel,Australia,https://www.ebay.com/itm/3-Frames-Manual-Honey-Extractor-Full-SS-304-Food-Grade-Stainless-Steel-/147020263908,FixedPriceItem,AUD,548.99,0.0,0.0,548.99,20,0,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,8 kg,31.80 x 17.70 x 17.70 cm,,0,9,,Missing UPC/EAN/ISBN; Missing ePID,2
141740012646,OZAPI-3LJKT,OZ APIARIST 3 Layer Mesh Ventilated Beekeeping Jacket With Your Choice Of Veil,Australia,https://www.ebay.com/itm/OZ-APIARIST-3-Layer-Mesh-Ventilated-Beekeeping-Jacket-Your-Choice-Veil-/141740012646,FixedPriceItem,AUD,149.99,0.0,0.0,149.99,2524,364,2160,,,Industrial:Facility Maintenance & Safety:Personal Protective Equipment (PPE):Other Personal Protective Equipment,11900,,,1000,New with tags,,,,,,,,,PKX - AU Variable Shipping Policy,2 kg,35.00 x 28.00 x 9.00 cm,,0,8,,Missing UPC/EAN/ISBN; Missing ePID,2
147020243197,OZ-2FMHE-SS304-L1,OZ ARMOUR 2 Frames Manual Honey Extractor Full SS 304 Food Grade Stainless Steel,Australia,https://www.ebay.com/itm/OZ-ARMOUR-2-Frames-Manual-Honey-Extractor-Full-SS-304-Food-Grade-Stainless-Steel-/147020243197,FixedPriceItem,AUD,438.99,0.0,0.0,438.99,21,1,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,8 kg,31.80 x 17.70 x 17.70 cm,,0,10,,Missing UPC/EAN/ISBN; Missing ePID,2
147020314352,OZ-3FMHE-220V-12V-L4,OZ ARMOUR 3 Frames Electric 220V & 12V Battery Operated Honey Extractor,Australia,https://www.ebay.com/itm/OZ-ARMOUR-3-Frames-Electric-220V-12V-Battery-Operated-Honey-Extractor-/147020314352,FixedPriceItem,AUD,1199.0,0.0,0.0,1199.0,20,0,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,8 kg,81.00 x 24.00 x 45.00 cm,,0,12,,Missing UPC/EAN/ISBN; Missing ePID,2
147020335110,OZ-4FMHE-L5,OZ ARMOUR 4 Frames Manual Honey Extractor,Australia,https://www.ebay.com/itm/OZ-ARMOUR-4-Frames-Manual-Honey-Extractor-/147020335110,FixedPriceItem,AUD,599.0,0.0,0.0,599.0,20,0,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,8 kg,81.00 x 61.00 x 61.00 cm,,0,11,,Missing UPC/EAN/ISBN; Missing ePID,2
147020294704,OZ-3-12FMHE-SS304-L3,3 -12 Frames Manual Honey Extractor,Australia,https://www.ebay.com/itm/3-12-Frames-Manual-Honey-Extractor-/147020294704,FixedPriceItem,AUD,698.99,0.0,0.0,698.99,21,1,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,8 kg,81.00 x 61.00 x 61.00 cm,,0,10,,Missing UPC/EAN/ISBN; Missing ePID,2
147020351251,OZ-4FMHE-4-12-L6,OZ Armour 4 to 12 Frames Manual Honey Extractor: Harvest Honey Like Never Before,Australia,https://www.ebay.com/itm/OZ-Armour-4-12-Frames-Manual-Honey-Extractor-Harvest-Honey-Like-Never-Before-/147020351251,FixedPriceItem,AUD,649.0,0.0,0.0,649.0,20,0,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,8 kg,81.00 x 45.00 x 45.00 cm,,0,6,,Missing UPC/EAN/ISBN; Missing ePID,2
136833230184,OZ-3FEHE-L7,OZ ARMOUR 3 Frames Electric Honey Extractor Full SS 304 Food grade,Australia,https://www.ebay.com/itm/OZ-ARMOUR-3-Frames-Electric-Honey-Extractor-Full-SS-304-Food-grade-/136833230184,FixedPriceItem,AUD,699.0,0.0,0.0,699.0,22,2,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,8 kg,45.00 x 45.00 x 45.00 cm,,0,8,,Missing UPC/EAN/ISBN; Missing ePID,2
136833267254,OZ-4FEHE-L8,OZ ARMOUR 4 Frames Electric Honey Extractor Full SS 304 Food grade,Australia,https://www.ebay.com/itm/OZ-ARMOUR-4-Frames-Electric-Honey-Extractor-Full-SS-304-Food-grade-/136833267254,FixedPriceItem,AUD,799.0,0.0,0.0,799.0,21,1,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,8 kg,81.00 x 45.00 x 45.00 cm,,0,6,,Missing UPC/EAN/ISBN; Missing ePID,2
133489256149,,20X PLASTIC FOUNDATION SHEETS - BLACK ,Australia,https://www.ebay.com/itm/20X-PLASTIC-FOUNDATION-SHEETS-BLACK-/133489256149,FixedPriceItem,AUD,31.99,0.0,0.0,31.99,28,8,20,,,Business:Stationery:Binders,26243,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,5 kg,48.00 x 23.00 x 15.00 cm,,0,1,,Missing SKU; Missing UPC/EAN/ISBN; Missing ePID; Few Images (1),4
136833279780,OZ-8FEHE-L9,OZ ARMOUR 8 Frames Electric Honey Extractor Full SS 304 Food Grade,Australia,https://www.ebay.com/itm/OZ-ARMOUR-8-Frames-Electric-Honey-Extractor-Full-SS-304-Food-Grade-/136833279780,FixedPriceItem,AUD,1599.0,0.0,0.0,1599.0,20,0,20,,,"Industrial:Farming & Agriculture:Livestock Supplies, Equipment:Other",11751,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,20 kg,81.00 x 70.00 x 70.00 cm,,0,7,,Missing UPC/EAN/ISBN; Missing ePID,2
147195571673,RTST,OZ ARMOUR Round Hat Veil With Strings,Australia,https://www.ebay.com/itm/OZ-ARMOUR-Round-Hat-Veil-Strings-/147195571673,FixedPriceItem,AUD,44.99,0.0,0.0,44.99,5,0,5,,,Industrial:Facility Maintenance & Safety:Personal Protective Equipment (PPE):Other Personal Protective Equipment,11900,,,1000,New with tags,,,,,,,,,PKX - AU Variable Shipping Policy,500 gm,20.00 x 15.00 x 18.00 cm,,0,4,,Missing UPC/EAN/ISBN; Missing ePID,2
143678676745,,BEE HIVE PLASTIC FOUNDATION SHEETS FULL DEPTH-LANGSTROTH BLACK ,Australia,https://www.ebay.com/itm/BEE-HIVE-PLASTIC-FOUNDATION-SHEETS-FULL-DEPTH-LANGSTROTH-BLACK-/143678676745,FixedPriceItem,AUD,16.99,0.0,0.0,16.99,26,6,20,,,Business:Stationery:Binders,26243,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,6 kg,40.00 x 40.00 x 30.00 cm,,0,1,,Missing SKU; Missing UPC/EAN/ISBN; Missing ePID; Few Images (1),4
143779911503,,Custom Bee Feed  Australian Made,Australia,https://www.ebay.com/itm/Custom-Bee-Feed-Australian-Made-/143779911503,FixedPriceItem,AUD,30.0,0.0,0.0,30.0,104,64,40,,,Industrial:Facility Maintenance & Safety:Personal Protective Equipment (PPE):Other Personal Protective Equipment,11900,,,1500,New without tags,,,,,,,,,PKX - AU Variable Shipping Policy,2 kg 50 gm,55.00 x 45.00 x 15.00 cm,,0,2,,Missing SKU; Missing UPC/EAN/ISBN; Missing ePID; Few Images (2),4
143678654458,,"GABLED ROOF/ LID TELESCOPIC WITH VENTILATION ""10 Frames""",Australia,https://www.ebay.com/itm/GABLED-ROOF-LID-TELESCOPIC-VENTILATION-10-Frames-/143678654458,FixedPriceItem,AUD,89.55,0.0,0.0,89.55,33,13,20,,,"Home & Garden:Yard, Garden & Outdoor Living:Garden Structures & Shade:Sheds, Summerhouses & Carports",139956,,,1000,Brand New,,,,,,,,,PKX - AU Variable Shipping Policy,4 kg,60.00 x 60.00 x 55.00 cm,,0,2,,Missing SKU; Missing UPC/EAN/ISBN; Missing ePID; Few Images (2),4
